id,date,amount,categoryId,description,receiptUrl,createdAt
exp-001,2025-01-03,14.50,food-dining,Lunch at cafe,,2025-01-03T12:30:00.000Z
exp-002,2025-01-07,48.00,transport,Monthly bus pass,,2025-01-07T08:00:00.000Z
exp-003,2025-01-10,92.99,shopping,Winter jacket,,2025-01-10T14:20:00.000Z
exp-004,2025-01-12,10.99,entertainment,Netflix subscription,,2025-01-12T19:00:00.000Z
exp-005,2025-01-15,28.00,health,Pharmacy,,2025-01-15T10:15:00.000Z
exp-006,2025-01-18,110.00,utilities,Electricity bill,,2025-01-18T09:00:00.000Z
exp-007,2025-01-20,7.50,food-dining,Morning coffee,,2025-01-20T07:45:00.000Z
exp-008,2025-01-22,135.00,shopping,Running shoes,,2025-01-22T16:00:00.000Z
exp-009,2025-01-24,22.00,transport,Taxi ride,,2025-01-24T21:30:00.000Z
exp-010,2025-01-27,62.00,food-dining,Dinner with friends,,2025-01-27T20:00:00.000Z
exp-011,2025-02-02,18.00,food-dining,Breakfast,,2025-02-02T09:00:00.000Z
exp-012,2025-02-05,75.00,health,Dentist visit,,2025-02-05T11:00:00.000Z
exp-013,2025-02-08,33.00,transport,Gas station,,2025-02-08T17:00:00.000Z
exp-014,2025-02-11,210.00,shopping,Headphones,,2025-02-11T14:00:00.000Z
exp-015,2025-02-13,9.99,entertainment,Spotify subscription,,2025-02-13T19:30:00.000Z
exp-016,2025-02-16,88.00,utilities,Internet bill,,2025-02-16T09:30:00.000Z
exp-017,2025-02-19,45.00,food-dining,Restaurant dinner,,2025-02-19T20:30:00.000Z
exp-018,2025-02-21,15.00,transport,Bus tickets,,2025-02-21T08:30:00.000Z
exp-019,2025-02-24,320.00,shopping,Smartwatch,,2025-02-24T15:00:00.000Z
exp-020,2025-02-27,55.00,health,Gym membership,,2025-02-27T07:00:00.000Z
exp-021,2025-03-03,12.00,food-dining,Sandwich and juice,,2025-03-03T13:00:00.000Z
exp-022,2025-03-06,40.00,transport,Train ticket,,2025-03-06T06:30:00.000Z
exp-023,2025-03-09,180.00,shopping,Backpack,,2025-03-09T12:00:00.000Z
exp-024,2025-03-12,14.99,entertainment,Cinema tickets,,2025-03-12T21:00:00.000Z
exp-025,2025-03-15,95.00,utilities,Water bill,,2025-03-15T10:00:00.000Z
